,County,Value,State (Rate),Year,Content.Area,State (Avg)
438,MOHAVE,41.85,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
439,YAVAPAI,40.66,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
440,NAVAJO,38.06,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
441,GRAHAM,35.17,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
442,APACHE,34.93,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
443,COCHISE,33.49,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
444,PINAL,29.87,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
445,GREENLEE,26.26,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
446,PIMA,23.87,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
447,YUMA,21.78,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
448,MARICOPA,19.55,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
449,SANTA CRUZ,19.06,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
450,COCONINO,13.85,23.56,2013,Chronic Obstructive Pulmonary Disease (COPD),
451,GILA,61.65,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
452,LA PAZ,57.63,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
453,COCHISE,52.72,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
454,YAVAPAI,50.48,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
455,MOHAVE,47.54,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
456,GRAHAM,40.09,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
457,NAVAJO,35.13,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
458,PIMA,29.56,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
459,APACHE,26.76,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
460,PINAL,26.19,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
461,YUMA,25.78,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
462,MARICOPA,24.3,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
463,COCONINO,19.39,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
464,GREENLEE,17.88,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
465,SANTA CRUZ,16.76,28.14,2012,Chronic Obstructive Pulmonary Disease (COPD),
466,GILA,66.92,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
467,LA PAZ,66.81,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
468,YAVAPAI,53.9,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
469,COCHISE,51.37,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
470,MOHAVE,50.97,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
471,GRAHAM,36.03,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
472,NAVAJO,30.65,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
473,YUMA,26.75,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
474,PINAL,25.71,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
475,PIMA,25.43,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
476,MARICOPA,23.82,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
477,COCONINO,23.79,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
478,APACHE,21.96,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
479,GREENLEE,19.52,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
480,SANTA CRUZ,18.35,27.48,2011,Chronic Obstructive Pulmonary Disease (COPD),
481,LA PAZ,61.44,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
482,YAVAPAI,54.14,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
483,MOHAVE,52.48,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
484,GILA,46.18,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
485,COCHISE,41.43,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
486,GRAHAM,37.17,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
487,NAVAJO,31.27,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
488,PIMA,25.96,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
489,YUMA,25.45,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
490,GREENLEE,24.56,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
491,COCONINO,22.92,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
492,SANTA CRUZ,22.11,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
493,MARICOPA,20.16,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
494,PINAL,15.14,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
495,APACHE,14.87,24.31,2010,Chronic Obstructive Pulmonary Disease (COPD),
496,LA PAZ,66.69,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
497,MOHAVE,47.03,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
498,YAVAPAI,46.41,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
499,GILA,43.68,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
500,COCHISE,37.84,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
501,YUMA,28.05,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
502,PIMA,27.61,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
503,NAVAJO,23.82,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
504,GRAHAM,22.09,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
505,MARICOPA,20.47,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
506,COCONINO,19.03,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
507,APACHE,18.98,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
508,SANTA CRUZ,15.22,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
509,PINAL,14.16,23.96,2009,Chronic Obstructive Pulmonary Disease (COPD),
510,LA PAZ,66.94,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
511,GRAHAM,59.83,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
512,YAVAPAI,45.5,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
513,COCHISE,36.6,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
514,MOHAVE,36.28,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
515,GILA,35.17,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
516,GREENLEE,32.82,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
517,YUMA,29.99,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
518,PIMA,24.65,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
519,NAVAJO,22.43,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
520,MARICOPA,21.78,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
521,COCONINO,18.88,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
522,PINAL,15.85,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
523,APACHE,14.97,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
524,SANTA CRUZ,12.66,24.15,2008,Chronic Obstructive Pulmonary Disease (COPD),
525,GRAHAM,63.18,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
526,LA PAZ,44.48,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
527,YAVAPAI,40.09,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
528,COCHISE,37.21,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
529,GILA,32.9,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
530,MOHAVE,30.85,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
531,YUMA,27.25,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
532,GREENLEE,25.78,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
533,PIMA,24,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
534,MARICOPA,19.03,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
535,COCONINO,18.89,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
536,NAVAJO,18.79,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
537,SANTA CRUZ,16.45,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
538,PINAL,14.78,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
539,APACHE,8.9,21.71,2007,Chronic Obstructive Pulmonary Disease (COPD),
540,GRAHAM,67.02,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
541,COCHISE,39.05,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
542,GILA,38.18,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
543,LA PAZ,35.94,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
544,GREENLEE,34.86,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
545,MOHAVE,33.81,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
546,YAVAPAI,33.09,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
547,PIMA,25.28,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
548,YUMA,25.25,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
549,COCONINO,24.61,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
550,SANTA CRUZ,20.38,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
551,MARICOPA,18.48,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
552,NAVAJO,13.77,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
553,APACHE,11.82,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
554,PINAL,11.38,21.48,2006,Chronic Obstructive Pulmonary Disease (COPD),
555,LA PAZ,92.6,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
556,GRAHAM,84.87,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
557,GILA,42.37,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
558,YUMA,41.93,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
559,COCHISE,41.48,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
560,GREENLEE,40.99,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
561,MOHAVE,37.29,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
562,PIMA,36.37,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
563,SANTA CRUZ,36.2,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
564,YAVAPAI,35.97,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
565,COCONINO,35.23,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
566,MARICOPA,24.81,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
567,NAVAJO,19.79,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
568,PINAL,15.36,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
569,APACHE,12.87,28.75,2005,Chronic Obstructive Pulmonary Disease (COPD),
570,GILA,6,,2020,Drinking Water Quality,2
571,PIMA,6,,2020,Drinking Water Quality,2
572,MARICOPA,5,,2020,Drinking Water Quality,2
573,COCONINO,4,,2020,Drinking Water Quality,2
574,YAVAPAI,3,,2020,Drinking Water Quality,2
575,COCHISE,2,,2020,Drinking Water Quality,2
576,NAVAJO,2,,2020,Drinking Water Quality,2
577,APACHE,1,,2020,Drinking Water Quality,2
578,LA PAZ,1,,2020,Drinking Water Quality,2
579,YUMA,1,,2020,Drinking Water Quality,2
580,COCONINO,3,,2019,Drinking Water Quality,1
581,NAVAJO,3,,2019,Drinking Water Quality,1
582,PIMA,3,,2019,Drinking Water Quality,1
583,YUMA,3,,2019,Drinking Water Quality,1
584,APACHE,2,,2019,Drinking Water Quality,1
585,COCHISE,2,,2019,Drinking Water Quality,1
586,GRAHAM,2,,2019,Drinking Water Quality,1
587,MARICOPA,2,,2019,Drinking Water Quality,1
588,MOHAVE,1,,2019,Drinking Water Quality,1
589,YAVAPAI,1,,2019,Drinking Water Quality,1
590,COCONINO,4,,2018,Drinking Water Quality,1
591,MARICOPA,4,,2018,Drinking Water Quality,1
592,PIMA,3,,2018,Drinking Water Quality,1
593,YAVAPAI,3,,2018,Drinking Water Quality,1
594,YUMA,3,,2018,Drinking Water Quality,1
595,GILA,2,,2018,Drinking Water Quality,1
596,MOHAVE,2,,2018,Drinking Water Quality,1
597,NAVAJO,2,,2018,Drinking Water Quality,1
598,COCHISE,1,,2018,Drinking Water Quality,1
599,PINAL,1,,2018,Drinking Water Quality,1
600,GILA,4,,2017,Drinking Water Quality,1.53
601,MARICOPA,4,,2017,Drinking Water Quality,1.53
602,PIMA,4,,2017,Drinking Water Quality,1.53
603,YUMA,3,,2017,Drinking Water Quality,1.53
604,APACHE,2,,2017,Drinking Water Quality,1.53
605,COCHISE,2,,2017,Drinking Water Quality,1.53
606,YAVAPAI,2,,2017,Drinking Water Quality,1.53
607,COCONINO,1,,2017,Drinking Water Quality,1.53
608,GRAHAM,1,,2017,Drinking Water Quality,1.53
609,MARICOPA,8,,2016,Drinking Water Quality,2.4
610,MOHAVE,6,,2016,Drinking Water Quality,2.4
611,COCHISE,3,,2016,Drinking Water Quality,2.4
612,GILA,3,,2016,Drinking Water Quality,2.4
613,PIMA,3,,2016,Drinking Water Quality,2.4
614,YAVAPAI,3,,2016,Drinking Water Quality,2.4
615,YUMA,3,,2016,Drinking Water Quality,2.4
616,GRAHAM,2,,2016,Drinking Water Quality,2.4
617,PINAL,2,,2016,Drinking Water Quality,2.4
618,COCONINO,1,,2016,Drinking Water Quality,2.4
619,GREENLEE,1,,2016,Drinking Water Quality,2.4
620,NAVAJO,1,,2016,Drinking Water Quality,2.4
621,MARICOPA,7,,2015,Drinking Water Quality,2.27
622,PIMA,6,,2015,Drinking Water Quality,2.27
623,MOHAVE,4,,2015,Drinking Water Quality,2.27
624,YAVAPAI,4,,2015,Drinking Water Quality,2.27
625,PINAL,3,,2015,Drinking Water Quality,2.27
626,GILA,2,,2015,Drinking Water Quality,2.27
627,NAVAJO,2,,2015,Drinking Water Quality,2.27
628,YUMA,2,,2015,Drinking Water Quality,2.27
629,COCHISE,1,,2015,Drinking Water Quality,2.27
630,COCONINO,1,,2015,Drinking Water Quality,2.27
631,GRAHAM,1,,2015,Drinking Water Quality,2.27
632,LA PAZ,1,,2015,Drinking Water Quality,2.27
633,MOHAVE,8,,2014,Drinking Water Quality,2.8
634,MARICOPA,7,,2014,Drinking Water Quality,2.8
635,GILA,5,,2014,Drinking Water Quality,2.8
636,YUMA,5,,2014,Drinking Water Quality,2.8
637,PIMA,4,,2014,Drinking Water Quality,2.8
638,APACHE,3,,2014,Drinking Water Quality,2.8
639,YAVAPAI,3,,2014,Drinking Water Quality,2.8
640,COCONINO,2,,2014,Drinking Water Quality,2.8
641,PINAL,2,,2014,Drinking Water Quality,2.8
642,COCHISE,1,,2014,Drinking Water Quality,2.8
643,GRAHAM,1,,2014,Drinking Water Quality,2.8
644,NAVAJO,1,,2014,Drinking Water Quality,2.8
645,MARICOPA,9,,2013,Drinking Water Quality,3.27
646,PIMA,8,,2013,Drinking Water Quality,3.27
647,COCHISE,6,,2013,Drinking Water Quality,3.27
648,GILA,6,,2013,Drinking Water Quality,3.27
649,MOHAVE,6,,2013,Drinking Water Quality,3.27
650,PINAL,5,,2013,Drinking Water Quality,3.27
651,YAVAPAI,3,,2013,Drinking Water Quality,3.27
652,NAVAJO,2,,2013,Drinking Water Quality,3.27
653,YUMA,2,,2013,Drinking Water Quality,3.27
654,APACHE,1,,2013,Drinking Water Quality,3.27
655,GRAHAM,1,,2013,Drinking Water Quality,3.27
656,COCHISE,5,,2012,Drinking Water Quality,2.2
657,MARICOPA,5,,2012,Drinking Water Quality,2.2
658,MOHAVE,4,,2012,Drinking Water Quality,2.2
659,NAVAJO,4,,2012,Drinking Water Quality,2.2
660,PIMA,4,,2012,Drinking Water Quality,2.2
661,YAVAPAI,3,,2012,Drinking Water Quality,2.2
662,COCONINO,2,,2012,Drinking Water Quality,2.2
663,GILA,2,,2012,Drinking Water Quality,2.2
664,APACHE,1,,2012,Drinking Water Quality,2.2
665,LA PAZ,1,,2012,Drinking Water Quality,2.2
666,SANTA CRUZ,1,,2012,Drinking Water Quality,2.2
667,YUMA,1,,2012,Drinking Water Quality,2.2
668,PIMA,7,,2011,Drinking Water Quality,1.93
669,GILA,5,,2011,Drinking Water Quality,1.93
670,YAVAPAI,4,,2011,Drinking Water Quality,1.93
671,YUMA,3,,2011,Drinking Water Quality,1.93
672,COCHISE,2,,2011,Drinking Water Quality,1.93
673,COCONINO,2,,2011,Drinking Water Quality,1.93
674,MARICOPA,2,,2011,Drinking Water Quality,1.93
675,NAVAJO,2,,2011,Drinking Water Quality,1.93
676,GRAHAM,1,,2011,Drinking Water Quality,1.93
677,MOHAVE,1,,2011,Drinking Water Quality,1.93
678,PIMA,7,,2010,Drinking Water Quality,1.6
679,GILA,4,,2010,Drinking Water Quality,1.6
680,COCHISE,3,,2010,Drinking Water Quality,1.6
681,MARICOPA,2,,2010,Drinking Water Quality,1.6
682,PINAL,2,,2010,Drinking Water Quality,1.6
683,YAVAPAI,2,,2010,Drinking Water Quality,1.6
684,GRAHAM,1,,2010,Drinking Water Quality,1.6
685,MOHAVE,1,,2010,Drinking Water Quality,1.6
686,SANTA CRUZ,1,,2010,Drinking Water Quality,1.6
687,YUMA,1,,2010,Drinking Water Quality,1.6
688,PIMA,11,,2009,Drinking Water Quality,2.27
689,COCHISE,5,,2009,Drinking Water Quality,2.27
690,GILA,5,,2009,Drinking Water Quality,2.27
691,PINAL,4,,2009,Drinking Water Quality,2.27
692,MARICOPA,3,,2009,Drinking Water Quality,2.27
693,SANTA CRUZ,2,,2009,Drinking Water Quality,2.27
694,LA PAZ,1,,2009,Drinking Water Quality,2.27
695,MOHAVE,1,,2009,Drinking Water Quality,2.27
696,NAVAJO,1,,2009,Drinking Water Quality,2.27
697,YUMA,1,,2009,Drinking Water Quality,2.27
698,GILA,8,,2008,Drinking Water Quality,2.07
699,YUMA,6,,2008,Drinking Water Quality,2.07
700,COCHISE,3,,2008,Drinking Water Quality,2.07
701,PIMA,3,,2008,Drinking Water Quality,2.07
702,APACHE,2,,2008,Drinking Water Quality,2.07
703,GRAHAM,2,,2008,Drinking Water Quality,2.07
704,MOHAVE,2,,2008,Drinking Water Quality,2.07
705,COCONINO,1,,2008,Drinking Water Quality,2.07
706,MARICOPA,1,,2008,Drinking Water Quality,2.07
707,NAVAJO,1,,2008,Drinking Water Quality,2.07
708,PINAL,1,,2008,Drinking Water Quality,2.07
709,SANTA CRUZ,1,,2008,Drinking Water Quality,2.07
710,PIMA,29,,2007,Drinking Water Quality,9.27
711,COCHISE,18,,2007,Drinking Water Quality,9.27
712,GILA,17,,2007,Drinking Water Quality,9.27
713,YAVAPAI,14,,2007,Drinking Water Quality,9.27
714,PINAL,10,,2007,Drinking Water Quality,9.27
715,COCONINO,9,,2007,Drinking Water Quality,9.27
716,NAVAJO,7,,2007,Drinking Water Quality,9.27
717,YUMA,7,,2007,Drinking Water Quality,9.27
718,MARICOPA,6,,2007,Drinking Water Quality,9.27
719,APACHE,5,,2007,Drinking Water Quality,9.27
720,LA PAZ,5,,2007,Drinking Water Quality,9.27
721,MOHAVE,4,,2007,Drinking Water Quality,9.27
722,SANTA CRUZ,3,,2007,Drinking Water Quality,9.27
723,GRAHAM,2,,2007,Drinking Water Quality,9.27
724,GREENLEE,1,,2007,Drinking Water Quality,9.27
725,GILA,6,,2006,Drinking Water Quality,1.4
726,COCHISE,2,,2006,Drinking Water Quality,1.4
727,MARICOPA,2,,2006,Drinking Water Quality,1.4
728,PIMA,2,,2006,Drinking Water Quality,1.4
729,YAVAPAI,2,,2006,Drinking Water Quality,1.4
730,YUMA,2,,2006,Drinking Water Quality,1.4
731,COCONINO,1,,2006,Drinking Water Quality,1.4
732,GRAHAM,1,,2006,Drinking Water Quality,1.4
733,NAVAJO,1,,2006,Drinking Water Quality,1.4
734,PINAL,1,,2006,Drinking Water Quality,1.4
735,SANTA CRUZ,1,,2006,Drinking Water Quality,1.4
736,MARICOPA,"21,708",,2018,Food Safety,"2,353.2"
737,PIMA,"5,018",,2018,Food Safety,"2,353.2"
738,MOHAVE,"1,376",,2018,Food Safety,"2,353.2"
739,COCONINO,"1,375",,2018,Food Safety,"2,353.2"
740,YAVAPAI,"1,361",,2018,Food Safety,"2,353.2"
741,PINAL,"1,066",,2018,Food Safety,"2,353.2"
742,YUMA,930,,2018,Food Safety,"2,353.2"
743,COCHISE,723,,2018,Food Safety,"2,353.2"
744,NAVAJO,454,,2018,Food Safety,"2,353.2"
745,GILA,376,,2018,Food Safety,"2,353.2"
746,SANTA CRUZ,272,,2018,Food Safety,"2,353.2"
747,LA PAZ,245,,2018,Food Safety,"2,353.2"
748,GRAHAM,166,,2018,Food Safety,"2,353.2"
749,APACHE,157,,2018,Food Safety,"2,353.2"
750,GREENLEE,71,,2018,Food Safety,"2,353.2"
751,MARICOPA,"21,178",,2017,Food Safety,"2,292.8"
752,PIMA,"4,481",,2017,Food Safety,"2,292.8"
753,MOHAVE,"1,341",,2017,Food Safety,"2,292.8"
754,YAVAPAI,"1,333",,2017,Food Safety,"2,292.8"
755,COCONINO,"1,229",,2017,Food Safety,"2,292.8"
756,YUMA,"1,192",,2017,Food Safety,"2,292.8"
757,PINAL,987,,2017,Food Safety,"2,292.8"
758,COCHISE,882,,2017,Food Safety,"2,292.8"
759,NAVAJO,478,,2017,Food Safety,"2,292.8"
760,GILA,374,,2017,Food Safety,"2,292.8"
761,SANTA CRUZ,273,,2017,Food Safety,"2,292.8"
762,LA PAZ,244,,2017,Food Safety,"2,292.8"
763,APACHE,165,,2017,Food Safety,"2,292.8"
764,GRAHAM,160,,2017,Food Safety,"2,292.8"
765,GREENLEE,75,,2017,Food Safety,"2,292.8"
766,MARICOPA,"19,046",,2016,Food Safety,"2,100.23"
767,PIMA,"4,400",,2016,Food Safety,"2,100.23"
768,YAVAPAI,"1,343",,2016,Food Safety,"2,100.23"
769,MOHAVE,"1,320",,2016,Food Safety,"2,100.23"
770,COCONINO,"1,024.5",,2016,Food Safety,"2,100.23"
771,PINAL,993,,2016,Food Safety,"2,100.23"
772,COCHISE,795,,2016,Food Safety,"2,100.23"
773,YUMA,790,,2016,Food Safety,"2,100.23"
774,NAVAJO,442,,2016,Food Safety,"2,100.23"
775,GILA,388,,2016,Food Safety,"2,100.23"
776,SANTA CRUZ,304,,2016,Food Safety,"2,100.23"
777,LA PAZ,276,,2016,Food Safety,"2,100.23"
778,GRAHAM,170,,2016,Food Safety,"2,100.23"
779,APACHE,160,,2016,Food Safety,"2,100.23"
780,GREENLEE,52,,2016,Food Safety,"2,100.23"
781,MARICOPA,"19,982",,2015,Food Safety,"2,173.8"
782,PIMA,"4,520",,2015,Food Safety,"2,173.8"
783,MOHAVE,"1,309",,2015,Food Safety,"2,173.8"
784,YAVAPAI,"1,295",,2015,Food Safety,"2,173.8"
785,COCONINO,"1,134",,2015,Food Safety,"2,173.8"
786,PINAL,"1,004",,2015,Food Safety,"2,173.8"
787,YUMA,883,,2015,Food Safety,"2,173.8"
788,COCHISE,649,,2015,Food Safety,"2,173.8"
789,GILA,392,,2015,Food Safety,"2,173.8"
790,NAVAJO,376,,2015,Food Safety,"2,173.8"
791,SANTA CRUZ,318,,2015,Food Safety,"2,173.8"
792,LA PAZ,280,,2015,Food Safety,"2,173.8"
793,APACHE,204,,2015,Food Safety,"2,173.8"
794,GRAHAM,187,,2015,Food Safety,"2,173.8"
795,GREENLEE,74,,2015,Food Safety,"2,173.8"
796,MARICOPA,"20,647",,2014,Food Safety,"2,211.73"
797,PIMA,"4,394",,2014,Food Safety,"2,211.73"
798,MOHAVE,"1,298",,2014,Food Safety,"2,211.73"
799,YAVAPAI,"1,241",,2014,Food Safety,"2,211.73"
800,COCONINO,"1,165",,2014,Food Safety,"2,211.73"
801,PINAL,"1,024",,2014,Food Safety,"2,211.73"
802,YUMA,910,,2014,Food Safety,"2,211.73"
803,COCHISE,558,,2014,Food Safety,"2,211.73"
804,NAVAJO,489,,2014,Food Safety,"2,211.73"
805,GILA,391,,2014,Food Safety,"2,211.73"
806,SANTA CRUZ,294,,2014,Food Safety,"2,211.73"
807,LA PAZ,292,,2014,Food Safety,"2,211.73"
808,APACHE,204,,2014,Food Safety,"2,211.73"
809,GRAHAM,191,,2014,Food Safety,"2,211.73"
810,GREENLEE,78,,2014,Food Safety,"2,211.73"
811,MARICOPA,"21,153",,2013,Food Safety,"2,246.8"
812,PIMA,"4,404",,2013,Food Safety,"2,246.8"
813,MOHAVE,"1,356",,2013,Food Safety,"2,246.8"
814,YAVAPAI,"1,245",,2013,Food Safety,"2,246.8"
815,COCONINO,"1,130",,2013,Food Safety,"2,246.8"
816,PINAL,956,,2013,Food Safety,"2,246.8"
817,YUMA,890,,2013,Food Safety,"2,246.8"
818,COCHISE,603,,2013,Food Safety,"2,246.8"
819,NAVAJO,593,,2013,Food Safety,"2,246.8"
820,GILA,398,,2013,Food Safety,"2,246.8"
821,SANTA CRUZ,295,,2013,Food Safety,"2,246.8"
822,LA PAZ,250,,2013,Food Safety,"2,246.8"
823,GRAHAM,189,,2013,Food Safety,"2,246.8"
824,APACHE,178,,2013,Food Safety,"2,246.8"
825,GREENLEE,62,,2013,Food Safety,"2,246.8"
826,MARICOPA,"19,501",,2012,Food Safety,"2,184.93"
827,PIMA,"4,648",,2012,Food Safety,"2,184.93"
828,MOHAVE,"1,354",,2012,Food Safety,"2,184.93"
829,YAVAPAI,"1,234",,2012,Food Safety,"2,184.93"
830,COCONINO,"1,112",,2012,Food Safety,"2,184.93"
831,PINAL,"1,014",,2012,Food Safety,"2,184.93"
832,YUMA,958,,2012,Food Safety,"2,184.93"
833,COCHISE,938,,2012,Food Safety,"2,184.93"
834,NAVAJO,593,,2012,Food Safety,"2,184.93"
835,GILA,432,,2012,Food Safety,"2,184.93"
836,SANTA CRUZ,295,,2012,Food Safety,"2,184.93"
837,LA PAZ,268,,2012,Food Safety,"2,184.93"
838,GRAHAM,192,,2012,Food Safety,"2,184.93"
839,APACHE,170,,2012,Food Safety,"2,184.93"
840,GREENLEE,65,,2012,Food Safety,"2,184.93"
841,MARICOPA,"20,802",,2011,Food Safety,"2,244"
842,PIMA,"4,606",,2011,Food Safety,"2,244"
843,MOHAVE,"1,326",,2011,Food Safety,"2,244"
844,YAVAPAI,"1,205",,2011,Food Safety,"2,244"
845,COCONINO,"1,085",,2011,Food Safety,"2,244"
846,YUMA,971,,2011,Food Safety,"2,244"
847,PINAL,947,,2011,Food Safety,"2,244"
848,COCHISE,898,,2011,Food Safety,"2,244"
849,NAVAJO,515,,2011,Food Safety,"2,244"
850,GILA,408,,2011,Food Safety,"2,244"
851,SANTA CRUZ,298,,2011,Food Safety,"2,244"
852,LA PAZ,233,,2011,Food Safety,"2,244"
853,GRAHAM,200,,2011,Food Safety,"2,244"
854,APACHE,95,,2011,Food Safety,"2,244"
855,GREENLEE,71,,2011,Food Safety,"2,244"
856,MARICOPA,"20,877",,2010,Food Safety,"2,306"
857,PIMA,"4,519",,2010,Food Safety,"2,306"
858,COCONINO,"1,659",,2010,Food Safety,"2,306"
